Any,Mes,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Poblacio_16_64_anys,Pes_atur
2014,1,1,Ciutat Vella,1,el Raval,35170,13
2014,1,1,Ciutat Vella,2,el Barri Gòtic,11987,10.2
2014,1,1,Ciutat Vella,3,la Barceloneta,10586,13.3
2014,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16599,11.8
2014,1,2,Eixample,5,el Fort Pienc,20895,9
2014,1,2,Eixample,6,la Sagrada Família,34164,8.9
2014,1,2,Eixample,7,la Dreta de l'Eixample,28478,7.1
2014,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,27649,8.6
2014,1,2,Eixample,9,la Nova Esquerra de l'Eixample,38236,8.7
2014,1,2,Eixample,10,Sant Antoni,25149,9.7
2014,1,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,28154,12.5
2014,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,729,20.4
2014,1,3,Sants-Montjuïc,13,la Marina de Port,19576,12.2
2014,1,3,Sants-Montjuïc,14,la Font de la Guatlla,6864,12.8
2014,1,3,Sants-Montjuïc,15,Hostafrancs,10859,9.6
2014,1,3,Sants-Montjuïc,16,la Bordeta,12228,10
2014,1,3,Sants-Montjuïc,17,Sants - Badal,16224,8.5
2014,1,3,Sants-Montjuïc,18,Sants,27273,9.4
2014,1,4,Les Corts,19,les Corts,29112,9
2014,1,4,Les Corts,20,la Maternitat i Sant Ramon,14801,9.2
2014,1,4,Les Corts,21,Pedralbes,6943,4.5
2014,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2882,4.4
2014,1,5,Sarrià-Sant Gervasi,23,Sarrià,14715,4.6
2014,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,9792,5.1
2014,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,15478,5.5
2014,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,28431,5.8
2014,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,18476,8
2014,1,6,Gràcia,28,Vallcarca i els Penitents,9712,9.7
2014,1,6,Gràcia,29,el Coll,4735,8.4
2014,1,6,Gràcia,30,la Salut,8328,9.5
2014,1,6,Gràcia,31,la Vila de Gràcia,34462,9.2
2014,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,22052,8.9
2014,1,7,Horta-Guinardó,33,el Baix Guinardó,16292,9.3
2014,1,7,Horta-Guinardó,34,Can Baró,5659,10
2014,1,7,Horta-Guinardó,35,el Guinardó,22759,10.8
2014,1,7,Horta-Guinardó,36,la Font d'en Fargues,5851,13
2014,1,7,Horta-Guinardó,37,el Carmel,20383,12.8
2014,1,7,Horta-Guinardó,38,la Teixonera,7218,10.6
2014,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,4079,11.2
2014,1,7,Horta-Guinardó,40,Montbau,2786,11.8
2014,1,7,Horta-Guinardó,41,la Vall d'Hebron,3326,10.6
2014,1,7,Horta-Guinardó,42,la Clota,333,7.5
2014,1,7,Horta-Guinardó,43,Horta,16416,12.9
2014,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,15900,12.2
2014,1,8,Nou Barris,45,Porta,14904,12.8
2014,1,8,Nou Barris,46,el Turó de la Peira,9359,12.9
2014,1,8,Nou Barris,47,Can Peguera,1411,11.9
2014,1,8,Nou Barris,48,la Guineueta,8760,15.6
2014,1,8,Nou Barris,49,Canyelles,4449,15
2014,1,8,Nou Barris,50,les Roquetes,10237,14.1
2014,1,8,Nou Barris,51,Verdun,7600,14.6
2014,1,8,Nou Barris,52,la Prosperitat,15863,13.5
2014,1,8,Nou Barris,53,la Trinitat Nova,4756,19.4
2014,1,8,Nou Barris,54,Torre Baró,1718,14.8
2014,1,8,Nou Barris,55,Ciutat Meridiana,6596,20.2
2014,1,8,Nou Barris,56,Vallbona,827,18.7
2014,1,9,Sant Andreu,57,la Trinitat Vella,6925,17.8
2014,1,9,Sant Andreu,58,Baró de Viver,1618,11.2
2014,1,9,Sant Andreu,59,el Bon Pastor,8029,12.8
2014,1,9,Sant Andreu,60,Sant Andreu,36741,11.3
2014,1,9,Sant Andreu,61,la Sagrera,18768,10.3
2014,1,9,Sant Andreu,62,el Congrés i els Indians,8625,10.9
2014,1,9,Sant Andreu,63,Navas,13800,10.5
2014,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,24797,11
2014,1,10,Sant Martí,65,el Clot,18337,10.2
2014,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,10096,9.1
2014,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,6604,9.1
2014,1,10,Sant Martí,68,el Poblenou,21909,9.5
2014,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,8574,11.5
2014,1,10,Sant Martí,70,el Besòs i el Maresme,15199,14.9
2014,1,10,Sant Martí,71,Provençals del Poblenou,13622,11
2014,1,10,Sant Martí,72,Sant Martí de Provençals,15822,13
2014,1,10,Sant Martí,73,la Verneda i la Pau,17598,13.2
2014,2,1,Ciutat Vella,1,el Raval,35170,12.9
2014,2,1,Ciutat Vella,2,el Barri Gòtic,11987,10.2
2014,2,1,Ciutat Vella,3,la Barceloneta,10586,13.2
2014,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16599,11.6
2014,2,2,Eixample,5,el Fort Pienc,20895,8.8
2014,2,2,Eixample,6,la Sagrada Família,34164,8.8
2014,2,2,Eixample,7,la Dreta de l'Eixample,28478,7.1
2014,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,27649,8.4
2014,2,2,Eixample,9,la Nova Esquerra de l'Eixample,38236,8.6
2014,2,2,Eixample,10,Sant Antoni,25149,9.6
2014,2,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,28154,12.1
2014,2,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,729,20.7
2014,2,3,Sants-Montjuïc,13,la Marina de Port,19576,12.2
2014,2,3,Sants-Montjuïc,14,la Font de la Guatlla,6864,12.4
2014,2,3,Sants-Montjuïc,15,Hostafrancs,10859,9.6
2014,2,3,Sants-Montjuïc,16,la Bordeta,12228,10
2014,2,3,Sants-Montjuïc,17,Sants - Badal,16224,8.5
2014,2,3,Sants-Montjuïc,18,Sants,27273,9.4
2014,2,4,Les Corts,19,les Corts,29112,9
2014,2,4,Les Corts,20,la Maternitat i Sant Ramon,14801,9.2
2014,2,4,Les Corts,21,Pedralbes,6943,4.4
2014,2,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2882,4.4
2014,2,5,Sarrià-Sant Gervasi,23,Sarrià,14715,4.5
2014,2,5,Sarrià-Sant Gervasi,24,les Tres Torres,9792,5
2014,2,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,15478,5.4
2014,2,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,28431,5.7
