"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població_16_64_anys","Pes_atur"
2018,1,1,"Ciutat Vella",1,"el Raval",35577,9.8
2018,1,1,"Ciutat Vella",2,"el Barri Gòtic",13388,6.9
2018,1,1,"Ciutat Vella",3,"la Barceloneta",10928,9.6
2018,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17084,8.5
2018,1,2,"Eixample",5,"el Fort Pienc",21304,6
2018,1,2,"Eixample",6,"la Sagrada Família",34381,6
2018,1,2,"Eixample",7,"la Dreta de l'Eixample",28960,4.6
2018,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",28563,5.3
2018,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38127,5.8
2018,1,2,"Eixample",10,"Sant Antoni",25468,6.4
2018,1,3,"Sants-Montjuïc",11,"el Poble Sec",28154,8.3
2018,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",784,14.4
2018,1,3,"Sants-Montjuïc",13,"la Marina de Port",20134,8.7
2018,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6837,8.7
2018,1,3,"Sants-Montjuïc",15,"Hostafrancs",10997,6.7
2018,1,3,"Sants-Montjuïc",16,"la Bordeta",12230,7.1
2018,1,3,"Sants-Montjuïc",17,"Sants - Badal",15846,5.6
2018,1,3,"Sants-Montjuïc",18,"Sants",27531,6.3
2018,1,4,"Les Corts",19,"les Corts",28255,6.2
2018,1,4,"Les Corts",20,"la Maternitat i Sant Ramon",14546,6
2018,1,4,"Les Corts",21,"Pedralbes",7068,3.3
2018,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3078,3
2018,1,5,"Sarrià-Sant Gervasi",23,"Sarrià",14988,3.3
2018,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",10016,3.6
2018,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15689,3.8
2018,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29571,3.6
2018,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",18879,5.1
2018,1,6,"Gràcia",28,"Vallcarca i els Penitents",9886,6.3
2018,1,6,"Gràcia",29,"el Coll",4875,5.3
2018,1,6,"Gràcia",30,"la Salut",8192,6.5
2018,1,6,"Gràcia",31,"la Vila de Gràcia",34562,6.1
2018,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22106,6.1
