"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2020,1,1,"Ciutat Vella",1,"el Raval",36330,"8.4"
2020,1,1,"Ciutat Vella",2,"el Barri Gòtic",17931,"5.1"
2020,1,1,"Ciutat Vella",3,"la Barceloneta",11346,"8.8"
2020,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17817,"7.7"
2020,1,2,"Eixample",5,"el Fort Pienc",22474,"5.2"
2020,1,2,"Eixample",6,"la Sagrada Família",35008,"5.5"
2020,1,2,"Eixample",7,"la Dreta de l'Eixample",29535,"4.3"
2020,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29495,"4.6"
2020,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38490,"5.6"
2020,1,2,"Eixample",10,"Sant Antoni",26125,"5.9"
2020,1,3,"Sants-Montjuïc",11,"el Poble Sec",28752,"7.2"
2020,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",845,"11.3"
2020,1,3,"Sants-Montjuïc",13,"la Marina de Port",20742,"7.7"
2020,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6868,"7.6"
2020,1,3,"Sants-Montjuïc",15,"Hostafrancs",11193,"6.2"
2020,1,3,"Sants-Montjuïc",16,"la Bordeta",12732,"6.4"
2020,1,3,"Sants-Montjuïc",17,"Sants - Badal",16538,"5.2"
2020,1,3,"Sants-Montjuïc",18,"Sants",29727,"5.6"
2020,1,4,"Les Corts",19,"les Corts",28434,"6.0"
2020,1,4,"Les Corts",20,"la Maternitat i Sant Ramon",14523,"5.8"
2020,1,4,"Les Corts",21,"Pedralbes",7002,"2.8"
2020,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3095,"3.0"
2020,1,5,"Sarrià-Sant Gervasi",23,"Sarrià",15067,"2.9"
2020,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",10010,"3.5"
2020,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",16020,"3.7"
2020,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29947,"3.5"
2020,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19519,"4.9"
2020,1,6,"Gràcia",28,"Vallcarca i els Penitents",10174,"6.2"
2020,1,6,"Gràcia",29,"el Coll",5040,"5.3"
2020,1,6,"Gràcia",30,"la Salut",8313,"6.4"
2020,1,6,"Gràcia",31,"la Vila de Gràcia",35144,"5.6"
2020,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22813,"5.6"
2020,1,7,"Horta-Guinardó",33,"el Baix Guinardó",16655,"6.0"
2020,1,7,"Horta-Guinardó",34,"Can Baró",6087,"6.3"
2020,1,7,"Horta-Guinardó",35,"el Guinardó",24437,"6.3"
2020,1,7,"Horta-Guinardó",36,"la Font d'en Fargues",5844,"8.2"
2020,1,7,"Horta-Guinardó",37,"el Carmel",20925,"7.8"
2020,1,7,"Horta-Guinardó",38,"la Teixonera",7904,"6.2"
2020,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4682,"6.4"
2020,1,7,"Horta-Guinardó",40,"Montbau",3221,"6.7"
2020,1,7,"Horta-Guinardó",41,"la Vall d'Hebron",3541,"6.5"
2020,1,7,"Horta-Guinardó",42,"la Clota",497,"3.2"
2020,1,7,"Horta-Guinardó",43,"Horta",17771,"7.6"
2020,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16400,"7.7"
2020,1,8,"Nou Barris",45,"Porta",17963,"7.0"
2020,1,8,"Nou Barris",46,"el Turó de la Peira",10552,"7.4"
2020,1,8,"Nou Barris",47,"Can Peguera",1411,"7.7"
2020,1,8,"Nou Barris",48,"la Guineueta",9052,"9.8"
2020,1,8,"Nou Barris",49,"Canyelles",4082,"10.6"
2020,1,8,"Nou Barris",50,"les Roquetes",10915,"8.6"
2020,1,8,"Nou Barris",51,"Verdun",8306,"8.6"
2020,1,8,"Nou Barris",52,"la Prosperitat",16807,"8.4"
2020,1,8,"Nou Barris",53,"la Trinitat Nova",5195,"12.2"
2020,1,8,"Nou Barris",54,"Torre Baró",1985,"8.9"
2020,1,8,"Nou Barris",55,"Ciutat Meridiana",7218,"12.7"
2020,1,8,"Nou Barris",56,"Vallbona",901,"11.8"
2020,1,9,"Sant Andreu",57,"la Trinitat Vella",7009,"12.1"
2020,1,9,"Sant Andreu",58,"Baró de Viver",1755,"6.8"
2020,1,9,"Sant Andreu",59,"el Bon Pastor",9014,"7.5"
2020,1,9,"Sant Andreu",60,"Sant Andreu",37215,"7.3"
2020,1,9,"Sant Andreu",61,"la Sagrera",18540,"6.5"
2020,1,9,"Sant Andreu",62,"el Congrés i els Indians",9638,"6.1"
2020,1,9,"Sant Andreu",63,"Navas",14407,"6.3"
2020,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25714,"6.9"
2020,1,10,"Sant Martí",65,"el Clot",18009,"6.7"
2020,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10685,"5.6"
2020,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6471,"6.4"
2020,1,10,"Sant Martí",68,"el Poblenou",23221,"6.1"
2020,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8766,"7.2"
2020,1,10,"Sant Martí",70,"el Besòs i el Maresme",17383,"8.3"
2020,1,10,"Sant Martí",71,"Provençals del Poblenou",14391,"6.6"
2020,1,10,"Sant Martí",72,"Sant Martí de Provençals",16235,"8.1"
2020,1,10,"Sant Martí",73,"la Verneda i la Pau",17602,"8.4"
2020,2,1,"Ciutat Vella",1,"el Raval",36330,"8.6"
2020,2,1,"Ciutat Vella",2,"el Barri Gòtic",17931,"5.3"
2020,2,1,"Ciutat Vella",3,"la Barceloneta",11346,"8.9"
2020,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17817,"7.8"
2020,2,2,"Eixample",5,"el Fort Pienc",22474,"5.2"
2020,2,2,"Eixample",6,"la Sagrada Família",35008,"5.5"
2020,2,2,"Eixample",7,"la Dreta de l'Eixample",29535,"4.4"
2020,2,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29495,"4.7"
2020,2,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38490,"5.6"
2020,2,2,"Eixample",10,"Sant Antoni",26125,"6.0"
2020,2,3,"Sants-Montjuïc",11,"el Poble Sec",28752,"7.4"
2020,2,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",845,"11.6"
2020,2,3,"Sants-Montjuïc",13,"la Marina de Port",20742,"7.8"
2020,2,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6868,"7.8"
2020,2,3,"Sants-Montjuïc",15,"Hostafrancs",11193,"6.4"
2020,2,3,"Sants-Montjuïc",16,"la Bordeta",12732,"6.6"
2020,2,3,"Sants-Montjuïc",17,"Sants - Badal",16538,"5.3"
2020,2,3,"Sants-Montjuïc",18,"Sants",29727,"5.7"
2020,2,4,"Les Corts",19,"les Corts",28434,"6.1"
2020,2,4,"Les Corts",20,"la Maternitat i Sant Ramon",14523,"6.0"
2020,2,4,"Les Corts",21,"Pedralbes",7002,"2.9"
2020,2,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3095,"3.0"
2020,2,5,"Sarrià-Sant Gervasi",23,"Sarrià",15067,"3.0"
2020,2,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",10010,"3.6"
2020,2,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",16020,"3.7"
2020,2,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29947,"3.5"
2020,2,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19519,"4.9"
2020,2,6,"Gràcia",28,"Vallcarca i els Penitents",10174,"6.2"
2020,2,6,"Gràcia",29,"el Coll",5040,"5.2"
2020,2,6,"Gràcia",30,"la Salut",8313,"6.4"
2020,2,6,"Gràcia",31,"la Vila de Gràcia",35144,"5.6"
2020,2,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22813,"5.6"
2020,2,7,"Horta-Guinardó",33,"el Baix Guinardó",16655,"5.9"
2020,2,7,"Horta-Guinardó",34,"Can Baró",6087,"6.3"
2020,2,7,"Horta-Guinardó",35,"el Guinardó",24437,"6.2"
2020,2,7,"Horta-Guinardó",36,"la Font d'en Fargues",5844,"8.2"
2020,2,7,"Horta-Guinardó",37,"el Carmel",20925,"7.8"
2020,2,7,"Horta-Guinardó",38,"la Teixonera",7904,"6.4"
2020,2,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4682,"6.6"
2020,2,7,"Horta-Guinardó",40,"Montbau",3221,"6.9"
2020,2,7,"Horta-Guinardó",41,"la Vall d'Hebron",3541,"6.7"
2020,2,7,"Horta-Guinardó",42,"la Clota",497,"3.3"
2020,2,7,"Horta-Guinardó",43,"Horta",17771,"7.8"
2020,2,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16400,"7.9"
2020,2,8,"Nou Barris",45,"Porta",17963,"7.0"
2020,2,8,"Nou Barris",46,"el Turó de la Peira",10552,"7.6"
2020,2,8,"Nou Barris",47,"Can Peguera",1411,"7.9"
2020,2,8,"Nou Barris",48,"la Guineueta",9052,"9.9"
2020,2,8,"Nou Barris",49,"Canyelles",4082,"10.8"
2020,2,8,"Nou Barris",50,"les Roquetes",10915,"8.7"
2020,2,8,"Nou Barris",51,"Verdun",8306,"8.8"
2020,2,8,"Nou Barris",52,"la Prosperitat",16807,"8.4"
2020,2,8,"Nou Barris",53,"la Trinitat Nova",5195,"12.3"
2020,2,8,"Nou Barris",54,"Torre Baró",1985,"8.9"
2020,2,8,"Nou Barris",55,"Ciutat Meridiana",7218,"12.7"
2020,2,8,"Nou Barris",56,"Vallbona",901,"11.9"
2020,2,9,"Sant Andreu",57,"la Trinitat Vella",7009,"12.2"
2020,2,9,"Sant Andreu",58,"Baró de Viver",1755,"6.8"
2020,2,9,"Sant Andreu",59,"el Bon Pastor",9014,"7.5"
2020,2,9,"Sant Andreu",60,"Sant Andreu",37215,"7.4"
2020,2,9,"Sant Andreu",61,"la Sagrera",18540,"6.6"
2020,2,9,"Sant Andreu",62,"el Congrés i els Indians",9638,"6.2"
2020,2,9,"Sant Andreu",63,"Navas",14407,"6.3"
2020,2,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25714,"7.0"
2020,2,10,"Sant Martí",65,"el Clot",18009,"6.8"
2020,2,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10685,"5.6"
2020,2,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6471,"6.3"
2020,2,10,"Sant Martí",68,"el Poblenou",23221,"6.0"
2020,2,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8766,"7.3"
2020,2,10,"Sant Martí",70,"el Besòs i el Maresme",17383,"8.4"
2020,2,10,"Sant Martí",71,"Provençals del Poblenou",14391,"6.7"
2020,2,10,"Sant Martí",72,"Sant Martí de Provençals",16235,"8.2"
2020,2,10,"Sant Martí",73,"la Verneda i la Pau",17602,"8.6"
2020,3,1,"Ciutat Vella",1,"el Raval",36330,"9.3"
2020,3,1,"Ciutat Vella",2,"el Barri Gòtic",17931,"5.7"
2020,3,1,"Ciutat Vella",3,"la Barceloneta",11346,"9.6"
2020,3,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17817,"8.5"
2020,3,2,"Eixample",5,"el Fort Pienc",22474,"5.7"
2020,3,2,"Eixample",6,"la Sagrada Família",35008,"6.0"
2020,3,2,"Eixample",7,"la Dreta de l'Eixample",29535,"4.7"
2020,3,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29495,"5.0"
2020,3,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38490,"6.0"
2020,3,2,"Eixample",10,"Sant Antoni",26125,"6.4"
